domain,url,platform,quality_score,has_products,product_count,ecom_signals,detected_payments,monthly_visits,source,tranco_rank,majestic_rank
paireyewear.com,https://paireyewear.com,shopify,80,True,0,5,,1758351,storeleads,,
www.lenox.com,https://www.lenox.com,shopify,80,True,0,5,,1755833,storeleads,,
us.checkout.gymshark.com,https://us.checkout.gymshark.com,shopify,80,True,0,5,,1754071,storeleads,,
www.trueclassictees.com,https://www.trueclassictees.com,shopify,80,True,0,5,,1749405,storeleads,,
www.stadiumgoods.com,https://www.stadiumgoods.com,shopify,80,True,0,5,,1746527,storeleads,,
denimtears.com,https://denimtears.com,shopify,80,True,0,5,,1743284,storeleads,,
www.kingofchristmas.com,https://www.kingofchristmas.com,shopify,80,True,0,5,,1741765,storeleads,,
www.drscholls.com,https://www.drscholls.com,shopify,80,True,0,5,,1733374,storeleads,,
www.honeylove.com,https://www.honeylove.com,shopify,80,True,0,5,,1718111,storeleads,,
www.brecks.com,https://www.brecks.com,shopify,80,True,0,5,,1717836,storeleads,,
www.thespicehouse.com,https://www.thespicehouse.com,shopify,80,True,0,5,,1715778,storeleads,,
www.fleshlight.com,https://www.fleshlight.com,shopify,80,True,0,5,,1711667,storeleads,,
www.pitviper.com,https://www.pitviper.com,shopify,80,True,0,5,,1699012,storeleads,,
www.gorjana.com,https://www.gorjana.com,shopify,80,True,0,5,,1696584,storeleads,,
shoecity.com,https://shoecity.com,shopify,80,True,0,5,,1695113,storeleads,,
thewoobles.com,https://thewoobles.com,shopify,80,True,0,5,,1690441,storeleads,,
verabradleyoutlet.com,https://verabradleyoutlet.com,shopify,80,True,0,5,,1681087,storeleads,,
www.reef.com,https://www.reef.com,shopify,80,True,0,5,,1680156,storeleads,,
langehair.com,https://langehair.com,shopify,80,True,0,5,,1678083,storeleads,,
www.chemicalguys.com,https://www.chemicalguys.com,shopify,80,True,0,5,,1676067,storeleads,,
www.missouriquiltco.com,https://www.missouriquiltco.com,shopify,80,True,0,5,,1672194,storeleads,,
www.spokesman.com,https://www.spokesman.com,shopify,80,True,0,5,,1669591,storeleads,,
www.grivetoutdoors.com,https://www.grivetoutdoors.com,shopify,80,True,0,5,,1663020,storeleads,,
olaplex.com,https://olaplex.com,shopify,80,True,0,5,,1653444,storeleads,,
ksubi.com,https://ksubi.com,shopify,80,True,0,5,,1649937,storeleads,,
basepaws.com,https://basepaws.com,shopify,80,True,0,5,,1649545,storeleads,,
safariland.com,https://safariland.com,shopify,80,True,0,5,,1648545,storeleads,,
www.pinkcherry.com,https://www.pinkcherry.com,shopify,80,True,0,5,,1647096,storeleads,,
hellstar.com,https://hellstar.com,shopify,80,True,0,5,,1643953,storeleads,,
www.pier1.com,https://www.pier1.com,shopify,80,True,0,5,,1643487,storeleads,,
www.chubbiesshorts.com,https://www.chubbiesshorts.com,shopify,80,True,0,5,,1639964,storeleads,,
edhardyoriginals.com,https://edhardyoriginals.com,shopify,80,True,0,5,,1637848,storeleads,,
www.judybluejeans.com,https://www.judybluejeans.com,shopify,80,True,0,5,,1635387,storeleads,,
youtooz.com,https://youtooz.com,shopify,80,True,0,5,,1629801,storeleads,,
www.magnoliabakery.com,https://www.magnoliabakery.com,shopify,80,True,0,5,,1627684,storeleads,,
www.pinkblushmaternity.com,https://www.pinkblushmaternity.com,shopify,80,True,0,5,,1619712,storeleads,,
www.jonesroadbeauty.com,https://www.jonesroadbeauty.com,shopify,80,True,0,5,,1619479,storeleads,,
www.singer.com,https://www.singer.com,shopify,80,True,0,5,,1614104,storeleads,,
gettrumpsneakers.com,https://gettrumpsneakers.com,shopify,80,True,0,5,,1613802,storeleads,,
www.bareminerals.com,https://www.bareminerals.com,shopify,80,True,0,5,,1612892,storeleads,,
www.patmcgrath.com,https://www.patmcgrath.com,shopify,80,True,0,5,,1611019,storeleads,,
chatbooks.com,https://chatbooks.com,shopify,80,True,0,5,,1604612,storeleads,,
clevelandmetroparks.com,https://clevelandmetroparks.com,shopify,80,True,0,5,,1602655,storeleads,,
brucebolt.us,https://brucebolt.us,shopify,80,True,0,5,,1600295,storeleads,,
us.oneill.com,https://us.oneill.com,shopify,80,True,0,5,,1594560,storeleads,,
www.hatch.co,https://www.hatch.co,shopify,80,True,0,5,,1588423,storeleads,,
arcade1up.com,https://arcade1up.com,shopify,80,True,0,5,,1585608,storeleads,,
www.step2.com,https://www.step2.com,shopify,80,True,0,5,,1579149,storeleads,,
www.kuiu.com,https://www.kuiu.com,shopify,80,True,0,5,,1565700,storeleads,,
www.woodcraft.com,https://www.woodcraft.com,shopify,80,True,0,5,,1564129,storeleads,,
www.wyndly.com,https://www.wyndly.com,shopify,80,True,0,5,,1563594,storeleads,,
www.loveshackfancy.com,https://www.loveshackfancy.com,shopify,80,True,0,5,,1562674,storeleads,,
www.psd.com,https://www.psd.com,shopify,80,True,0,5,,1558976,storeleads,,
www.manscaped.com,https://www.manscaped.com,shopify,80,True,0,5,,1558468,storeleads,,
www.bollandbranch.com,https://www.bollandbranch.com,shopify,80,True,0,5,,1557330,storeleads,,
www.kennethcole.com,https://www.kennethcole.com,shopify,80,True,0,5,,1555061,storeleads,,
beatboxbeverages.com,https://beatboxbeverages.com,shopify,80,True,0,5,,1550447,storeleads,,
frankiesbikinis.com,https://frankiesbikinis.com,shopify,80,True,0,5,,1545638,storeleads,,
pinklily.com,https://pinklily.com,shopify,80,True,0,5,,1542390,storeleads,,
perfumania.com,https://perfumania.com,shopify,80,True,0,5,,1532697,storeleads,,
www.portlandleathergoods.com,https://www.portlandleathergoods.com,shopify,80,True,0,5,,1526401,storeleads,,
www.hobobags.com,https://www.hobobags.com,shopify,80,True,0,5,,1524248,storeleads,,
www.petsafe.com,https://www.petsafe.com,shopify,80,True,0,5,,1521561,storeleads,,
peterluger.com,https://peterluger.com,shopify,80,True,0,5,,1511731,storeleads,,
