domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
andyswinkeltje.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
angantyr.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
angelike.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
angels.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
angga.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anglbb.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anibal.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aniemancrochet.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anil.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
animaladvantage.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
animalji.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
animals.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
animation.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anime.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
animoshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
animulperformance.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aninvitingplace.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anitalouise.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ankaboot.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anklebiters.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
annag.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
annas.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
annasdecor.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
annasjewels.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
annemiekshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
annesocd.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anomaly.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anon.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anothertestshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anoukizoo.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anrob.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ansonmills.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antastic.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anthony32.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antiaa.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antiantiquario.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antiquarian-book-cellar.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antiquechoice.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antiquus.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antiscalingmagnet.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antistatik.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antithese.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antones.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
antoniarobinson.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
